,Unnamed: 0,title,performer,first_week,total_weeks,peak_pos,genre
0,21406,Reflections Laughing,"The Weeknd, Travis Scott & Florence + The Machine",2025-02-15,1,53,R&B
1,7174,Enjoy The Show,The Weeknd & Future,2025-02-15,1,60,R&B
2,18811,Niagara Falls,The Weeknd,2025-02-15,1,65,R&B
3,13085,I'm The Problem,Morgan Wallen,2025-02-15,1,2,Country
4,470,7 Dias,Gabito Ballesteros & Tito Double P,2025-02-15,1,84,Traditional Mexicano
5,2453,Baptized In Fear,The Weeknd,2025-02-15,1,46,R&B
6,25983,The Abyss,The Weeknd & Lana Del Rey,2025-02-15,1,68,R&B
7,19899,Open Hearts,The Weeknd,2025-02-15,1,48,R&B
8,18889,Nissan Altima,Doechii,2025-02-15,1,92,Rap/Hip Hop
9,11516,I Can't Wait To Get There,The Weeknd,2025-02-15,1,82,R&B
10,25384,Take Me Back To LA,The Weeknd,2025-02-15,1,69,R&B
11,5254,Cry For Me,The Weeknd,2025-02-15,1,12,R&B
12,16458,Love Hangover,JENNIE & Dominic Fike,2025-02-15,1,96,Asian Music
13,19910,Opening Night,The Weeknd,2025-02-15,1,74,R&B
14,28916,Wake Me Up,The Weeknd & Justice,2025-02-15,1,45,Dance
15,9066,Given Up On Me,The Weeknd,2025-02-15,1,71,R&B
16,845,Abracadabra,Lady Gaga,2025-02-15,1,29,Pop
17,2288,Backseat Driver,Kane Brown,2025-02-08,1,79,Country
18,3199,Blue Jean Baby,Zach Bryan,2025-02-08,2,73,Pop
19,7715,Fat Juicy & Wet,Sexyy Red & Bruno Mars,2025-02-08,2,17,Rap/Hip Hop
20,24274,Sports Car,Tate McRae,2025-02-08,2,21,Pop
21,29421,Weren't For The Wind,Ella Langley,2025-02-08,2,85,Country
22,9965,Haunted,Kane Brown With Jelly Roll,2025-02-08,2,58,Country
23,18173,Mutt,Leon Thomas,2025-02-08,1,100,R&B
24,429,4X4,Travis Scott,2025-02-08,2,1,Rap/Hip Hop
25,17408,Me Jalo,Fuerza Regida & Grupo Frontera,2025-02-08,1,97,Traditional Mexicano
26,21016,Push 2 Start,Tyla,2025-02-01,2,88,Pop
27,8568,Funny Papers,Mac Miller,2025-02-01,1,77,Rap/Hip Hop
28,24617,Stoned,Mac Miller,2025-02-01,1,97,Rap/Hip Hop
29,8586,GBP,Central Cee Featuring 21 Savage,2025-02-01,2,81,Rap/Hip Hop
30,434,5 Dollar Pony Rides,Mac Miller,2025-02-01,1,85,Rap/Hip Hop
31,5354,DJ's Chord Organ,Mac Miller Featuring SZA,2025-02-01,1,95,Rap/Hip Hop
32,2961,Bigger Houses,Dan + Shay,2025-01-25,1,91,Country
33,28361,Tweaker,GELO,2025-01-25,5,30,Rap/Hip Hop
34,26216,The Days,CHRYSTAL,2025-01-25,4,83,Dance
35,1821,Are You Even Real,Teddy Swims & GIVEON,2025-01-25,4,59,Pop
36,8285,Forever Young,"David Guetta, Alphaville & Ava Max",2025-01-25,4,90,Pop
37,10105,Headlock,Imogen Heap,2025-01-25,4,90,Electro
38,5361,DTMF,Bad Bunny,2025-01-18,5,2,Latin Music
39,12209,I Promise,Lil Baby,2025-01-18,1,71,Rap/Hip Hop
40,14896,Kloufrens,Bad Bunny,2025-01-18,5,40,Latin Music
41,24550,Stiff Gang,Lil Baby,2025-01-18,1,86,Rap/Hip Hop
42,3815,By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave,2025-01-18,2,44,Rap/Hip Hop
43,6910,Due 4A Win,Lil Baby,2025-01-18,1,73,Rap/Hip Hop
44,5773,Denial Is A River,Doechii,2025-01-18,5,27,Rap/Hip Hop
45,28854,Voy A Llevarte Pa PR,Bad Bunny,2025-01-18,5,17,Latin Music
46,14762,Ketu Tecre,Bad Bunny,2025-01-18,4,38,Latin Music
47,7509,F U 2x,Lil Baby,2025-01-18,2,57,Rap/Hip Hop
48,15851,Listen Up,Lil Baby,2025-01-18,1,65,Rap/Hip Hop
49,24799,Stuff,Lil Baby Featuring Travis Scott,2025-01-18,3,51,Rap/Hip Hop
50,21390,Redbone,Lil Baby & GloRilla,2025-01-18,1,53,Rock
51,3865,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta,2025-01-18,4,48,Latin Music
52,28362,Tweaker,Gelo,2025-01-18,1,29,Rap/Hip Hop
53,6945,EOO,Bad Bunny,2025-01-18,5,24,Latin Music
54,28293,Turista,Bad Bunny,2025-01-18,4,45,Latin Music
55,8388,Free Promo,Lil Baby,2025-01-18,1,99,Rap/Hip Hop
56,6918,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future",2025-01-18,4,16,Rap/Hip Hop
57,28755,Velda,"Bad Bunny, Omar Courtz & Dei V",2025-01-18,5,23,Latin Music
58,19291,Nuevayol,Bad Bunny,2025-01-18,5,8,Latin Music
59,15019,La Mudanza,Bad Bunny,2025-01-18,4,51,Latin Music
60,20389,Perfumito Nuevo,Bad Bunny & RaiNao,2025-01-18,5,31,Latin Music
61,20012,Outfit,Lil Baby & 21 Savage,2025-01-18,2,50,Rap/Hip Hop
62,3286,Bokete,Bad Bunny,2025-01-18,4,42,Latin Music
63,2387,Baile Inolvidable,Bad Bunny,2025-01-18,5,3,Latin Music
64,16057,Lo Que Le Paso A Hawaii,Bad Bunny,2025-01-18,3,62,Latin Music
65,23731,So Sorry,Lil Baby,2025-01-18,1,74,Rap/Hip Hop
66,29418,Weltita,Bad Bunny & Chuwi,2025-01-18,5,32,Latin Music
67,16074,Loco,Neton Vega,2025-01-11,6,43,Latin Music
68,7161,Ends Of The Earth,Ty Myers,2025-01-11,1,94,Country
69,3458,Boys Back Home,Dylan Marlowe & Dylan Scott,2025-01-11,5,75,Country
70,18521,Nadie,Tito Double P,2025-01-11,5,78,Traditional Mexicano
71,5089,Cowboy Songs,George Birge,2025-01-11,1,100,Country
72,23573,Smile,Morgan Wallen,2025-01-11,6,4,Country
73,20514,Pitorro de Coco,Bad Bunny,2025-01-11,5,50,Latin Music
74,384,30 For 30,SZA With Kendrick Lamar,2025-01-04,7,20,R&B
75,4475,Chill Baby,SZA,2025-01-04,2,80,R&B
76,14894,Kitchen,SZA,2025-01-04,2,71,Folk
77,22287,Santa Baby,Laufey,2025-01-04,1,89,Unknown Genre
